y,x
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
1.0,7.0+
